TRA_ID;TRA_CODIGO;TRA_LICENCIA;TRA_PROCEDENCIA;TRA_TIPOINTERNO;TRA_INFO;TRA_ULTIMOCAMBIO;TRA_ULTIMOCAMBIO_USU_ID
155;578A960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
156;848D960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
157;228E960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
158;7E8C960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
159;DB8C960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
160;438D960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
161;698A960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
162;C48A960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
163;EB89960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
164;278F960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
165;328A960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
166;488A960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
167;7F8B960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
168;5B8F960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
169;258C960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
170;548A960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
171;AE89960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
172;C38A960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
173;638C960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
174;6889960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
175;B28D960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
176;E789960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
177;768D960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
178;488E960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
179;F388960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
180;AD8C960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
181;4F88960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
182;5D8A960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
183;3D8C960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
184;6A8A960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
185;7089960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
186;B78E960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
187;968B960A00000000;NULL;NULL;NULL;NULL;NULL;NULL
188;7E2A990A00000000;NULL;NULL;NULL;NULL;NULL;NULL
189;2;NULL;NULL;NULL;NULL;NULL;NULL
190;22;NULL;NULL;NULL;NULL;NULL;NULL
191;?2;NULL;NULL;NULL;NULL;NULL;NULL
192;0;NULL;NULL;NULL;NULL;NULL;NULL
193;4504A40900000000;NULL;NULL;NULL;NULL;NULL;NULL
194;B692E80900000000;NULL;NULL;NULL;NULL;NULL;NULL
195;44CC6F0A00000000;NULL;NULL;NULL;NULL;NULL;NULL
196;614A930A00000000;NULL;NULL;NULL;NULL;NULL;NULL
197;CE5B320A00000000;NULL;NULL;NULL;NULL;NULL;NULL
198;36B29B0A00000000;NULL;NULL;NULL;NULL;NULL;NULL
199;EC74990A00000000;NULL;NULL;NULL;NULL;NULL;NULL
200;0CD06F0A00000000;NULL;NULL;NULL;NULL;NULL;NULL
201;17AFA70A00000000;NULL;NULL;NULL;NULL;NULL;NULL
202;6654A60A00000000;NULL;NULL;NULL;NULL;NULL;NULL
203;0FA9A70A00000000;NULL;NULL;NULL;NULL;NULL;NULL
204;AFAFA70A00000000;NULL;NULL;NULL;NULL;NULL;NULL
205;F055A60A00000000;NULL;NULL;NULL;NULL;NULL;NULL
206;0F55A60A00000000;NULL;NULL;NULL;NULL;NULL;NULL
207;DCA8A70A00000000;NULL;NULL;NULL;NULL;NULL;NULL
208;1AADA70A00000000;NULL;NULL;NULL;NULL;NULL;NULL
209;5C54A60A00000000;NULL;NULL;NULL;NULL;NULL;NULL
210;FDA8A70A00000000;NULL;NULL;NULL;NULL;NULL;NULL
211;2EAEA70A00000000;NULL;NULL;NULL;NULL;NULL;NULL
212;57AFA70A00000000;NULL;NULL;NULL;NULL;NULL;NULL
213;31AFA70A00000000;NULL;NULL;NULL;NULL;NULL;NULL
214;A557A60A00000000;NULL;NULL;NULL;NULL;NULL;NULL
215;69AFA70A00000000;NULL;NULL;NULL;NULL;NULL;NULL
216;7755A60A00000000;NULL;NULL;NULL;NULL;NULL;NULL
217;39A9A70A00000000;NULL;NULL;NULL;NULL;NULL;NULL
218;6757A60A00000000;NULL;NULL;NULL;NULL;NULL;NULL
219;B4ACA70A00000000;NULL;NULL;NULL;NULL;NULL;NULL
220;EE56A60A00000000;NULL;NULL;NULL;NULL;NULL;NULL
221;7C54A60A00000000;NULL;NULL;NULL;NULL;NULL;NULL
222;5157A60A00000000;NULL;NULL;NULL;NULL;NULL;NULL
223;F7ACA70A00000000;NULL;NULL;NULL;NULL;NULL;NULL
224;FFA8A70A00000000;NULL;NULL;NULL;NULL;NULL;NULL
225;8756A60A00000000;NULL;NULL;NULL;NULL;NULL;NULL
226;8157A60A00000000;NULL;NULL;NULL;NULL;NULL;NULL
227;39AFA70A00000000;NULL;NULL;NULL;NULL;NULL;NULL
228;5255A60A00000000;NULL;NULL;NULL;NULL;NULL;NULL
229;80AFA70A00000000;NULL;NULL;NULL;NULL;NULL;NULL
230;EBACA70A00000000;NULL;NULL;NULL;NULL;NULL;NULL
231;B7AAA70A00000000;NULL;NULL;NULL;NULL;NULL;NULL
232;0EAFA70A00000000;NULL;NULL;NULL;NULL;NULL;NULL
233;A0AFA70A00000000;NULL;NULL;NULL;NULL;NULL;NULL
234;BFACA70A00000000;NULL;NULL;NULL;NULL;NULL;NULL
235;A157A60A00000000;NULL;NULL;NULL;NULL;NULL;NULL
236;94AFA70A00000000;NULL;NULL;NULL;NULL;NULL;NULL
237;8257A60A00000000;NULL;NULL;NULL;NULL;NULL;NULL
238;0CACA70A00000000;NULL;NULL;NULL;NULL;NULL;NULL
239;4954A60A00000000;NULL;NULL;NULL;NULL;NULL;NULL
240;D154A60A00000000;NULL;NULL;NULL;NULL;NULL;NULL
241;EEACA70A00000000;NULL;NULL;NULL;NULL;NULL;NULL
242;9057A60A00000000;NULL;NULL;NULL;NULL;NULL;NULL
243;6D56A60A00000000;NULL;NULL;NULL;NULL;NULL;NULL
244;E056A60A00000000;NULL;NULL;NULL;NULL;NULL;NULL
245;BD54A60A00000000;NULL;NULL;NULL;NULL;NULL;NULL
246;9DAFA70A00000000;NULL;NULL;NULL;NULL;NULL;NULL
247;FA54A60A00000000;NULL;NULL;NULL;NULL;NULL;NULL
248;4156A60A00000000;NULL;NULL;NULL;NULL;NULL;NULL
