"POS_ID	POS_VEH_ID	POS_EVE_ID	POS_LATITUD	POS_LONGITUD	POS_ALTITUD	POS_FECHAHORA	POS_FECHAHORASAT	POS_SAT	POS_SATTOT	POS_VELOCIDAD	POS_CALIDAD	POS_RUMBO	POS_DIR_ID"
"53114531	69	33	41,47934	2,09488	0	2015-04-16 14:48:01.000	2015-04-16 12:48:01.000	0	0	0	0	346	NULL"
"53114530	39	33	41,47936	2,09492	0	2015-04-16 14:48:01.000	2015-04-16 12:48:01.000	0	0	0	0	49	NULL"
"53114529	35	33	41,47939	2,09514	0	2015-04-16 14:47:58.000	2015-04-16 12:47:58.000	0	0	0	0	63	NULL"
"53114528	67	53	41,47932	2,09493	0	2015-04-16 14:47:58.000	2015-04-16 12:47:58.000	0	0	0	0	55	NULL"
"53114527	42	33	41,47945	2,09513	0	2015-04-16 14:47:56.000	2015-04-16 12:47:56.000	0	0	0	0	337	NULL"
"53114526	41	33	41,4721	2,08859	0	2015-04-16 14:47:55.000	2015-04-16 12:47:55.000	0	0	5	0	294	NULL"
"53114525	77	33	41,51298	2,10226	0	2015-04-16 14:47:47.000	2015-04-16 12:47:47.000	0	0	10	0	348	NULL"
"53114524	54	33	41,47956	2,095159	0	2015-04-16 14:47:17.000	2015-04-16 12:47:17.000	0	0	0	1	0	NULL"
"53114523	54	33	41,47959	2,095198	0	2015-04-16 14:46:47.000	2015-04-16 12:46:47.000	0	0	3	1	259	NULL"
"53114522	29	33	41,46928	2,07711	0	2015-04-16 14:47:45.000	2015-04-16 12:47:45.000	0	0	0	0	111	NULL"
"53114521	77	33	41,5129	2,10227	0	2015-04-16 14:47:45.000	2015-04-16 12:47:45.000	0	0	23	0	346	NULL"
"53114520	71	33	41,47969	2,09539	0	2015-04-16 14:47:43.000	2015-04-16 12:47:43.000	0	0	0	0	96	NULL"
"53114519	69	33	41,47934	2,09488	0	2015-04-16 14:47:41.000	2015-04-16 12:47:41.000	0	0	0	0	346	NULL"
"53114518	57	33	41,47921	2,095295	0	2015-04-16 14:47:07.000	2015-04-16 12:47:07.000	0	0	1	1	0	NULL"
"53114517	57	33	41,47925	2,094983	0	2015-04-16 14:46:37.000	2015-04-16 12:46:37.000	0	0	1	1	0	NULL"
"53114516	39	33	41,47936	2,09492	0	2015-04-16 14:47:41.000	2015-04-16 12:47:41.000	0	0	0	0	49	NULL"
"53114515	35	33	41,47939	2,09514	0	2015-04-16 14:47:38.000	2015-04-16 12:47:38.000	0	0	0	0	63	NULL"
"53114514	42	33	41,47945	2,09513	0	2015-04-16 14:47:36.000	2015-04-16 12:47:36.000	0	0	0	0	337	NULL"
"53114513	41	33	41,47191	2,08944	0	2015-04-16 14:47:34.000	2015-04-16 12:47:34.000	0	0	11	0	262	NULL"
"53114512	77	33	41,51014	2,10482	0	2015-04-16 14:47:27.000	2015-04-16 12:47:27.000	0	0	97	0	312	NULL"
"53114511	29	33	41,46928	2,07711	0	2015-04-16 14:47:26.000	2015-04-16 12:47:26.000	0	0	0	0	111	NULL"
"53114510	37	35	41,47952	2,09518	0	2015-04-16 14:47:25.000	2015-04-16 12:47:25.000	0	0	0	0	343	NULL"
"53114509	71	33	41,47969	2,09539	0	2015-04-16 14:47:22.000	2015-04-16 12:47:22.000	0	0	0	0	96	NULL"
"53114508	39	33	41,47936	2,09492	0	2015-04-16 14:47:21.000	2015-04-16 12:47:21.000	0	0	0	0	49	NULL"
"53114507	68	35	41,47952	2,09518	0	2015-04-16 14:47:20.000	2015-04-16 12:47:20.000	0	0	0	0	149	NULL"
"53114506	69	33	41,47934	2,09488	0	2015-04-16 14:47:19.000	2015-04-16 12:47:19.000	0	0	0	0	346	NULL"
"53114505	35	33	41,47939	2,09514	0	2015-04-16 14:47:19.000	2015-04-16 12:47:19.000	0	0	0	0	63	NULL"
"53114504	37	33	41,47952	2,09518	0	2015-04-16 14:47:17.000	2015-04-16 12:47:17.000	0	0	0	0	343	NULL"
"53114503	42	33	41,47945	2,09513	0	2015-04-16 14:47:16.000	2015-04-16 12:47:16.000	0	0	0	0	337	NULL"
"53114502	50	33	41,47965	2,095244	0	2015-04-16 14:47:08.000	2015-04-16 12:47:08.000	0	0	0	1	0	NULL"
"53114501	41	33	41,47195	2,0904	0	2015-04-16 14:47:14.000	2015-04-16 12:47:14.000	0	0	10	0	267	NULL"
"53114500	29	33	41,46929	2,07707	0	2015-04-16 14:47:06.000	2015-04-16 12:47:06.000	0	0	6	0	114	NULL"
"53114499	68	33	41,47952	2,09518	0	2015-04-16 14:47:07.000	2015-04-16 12:47:07.000	0	0	0	0	149	NULL"
"53114498	77	33	41,50693	2,10949	0	2015-04-16 14:47:07.000	2015-04-16 12:47:07.000	0	0	97	0	302	NULL"
"53114497	49	33	41,47964	2,095065	0	2015-04-16 14:46:44.000	2015-04-16 12:46:44.000	0	0	0	1	0	NULL"
"53114496	49	33	41,47965	2,095063	0	2015-04-16 14:46:14.000	2015-04-16 12:46:14.000	0	0	0	1	0	NULL"
"53114495	29	33	41,46929	2,07705	0	2015-04-16 14:47:05.000	2015-04-16 12:47:05.000	0	0	8	0	106	NULL"
"53114494	71	33	41,47969	2,09539	0	2015-04-16 14:47:03.000	2015-04-16 12:47:03.000	0	0	0	0	96	NULL"
"53114493	39	33	41,47936	2,09492	0	2015-04-16 14:47:01.000	2015-04-16 12:47:01.000	0	0	0	0	49	NULL"
"53114492	69	33	41,47934	2,09488	0	2015-04-16 14:46:59.000	2015-04-16 12:46:59.000	0	0	0	0	346	NULL"
"53114491	35	33	41,47939	2,09514	0	2015-04-16 14:46:58.000	2015-04-16 12:46:58.000	0	0	0	0	63	NULL"
"53114490	37	33	41,47952	2,09518	0	2015-04-16 14:46:58.000	2015-04-16 12:46:58.000	0	0	0	0	343	NULL"
"53114489	77	33	41,50571	2,1124	0	2015-04-16 14:46:57.000	2015-04-16 12:46:57.000	0	0	108	0	294	NULL"
"53114488	29	33	41,46925	2,07679	0	2015-04-16 14:46:56.000	2015-04-16 12:46:56.000	0	0	10	0	62	NULL"
"53114487	42	33	41,47945	2,09513	0	2015-04-16 14:46:56.000	2015-04-16 12:46:56.000	0	0	0	0	337	NULL"
"53114486	41	33	41,472	2,09109	0	2015-04-16 14:46:54.000	2015-04-16 12:46:54.000	0	0	13	0	261	NULL"
"53114485	50	33	41,47966	2,095251	0	2015-04-16 14:46:38.000	2015-04-16 12:46:38.000	0	0	0	1	0	NULL"
"53114484	50	33	41,47968	2,095257	0	2015-04-16 14:46:08.000	2015-04-16 12:46:08.000	0	0	0	1	0	NULL"
"53114483	68	33	41,47952	2,09518	0	2015-04-16 14:46:47.000	2015-04-16 12:46:47.000	0	0	2	0	149	NULL"
"53114482	77	33	41,50489	2,11585	0	2015-04-16 14:46:47.000	2015-04-16 12:46:47.000	0	0	106	0	284	NULL"
"53114481	29	33	41,4691	2,07654	0	2015-04-16 14:46:45.000	2015-04-16 12:46:45.000	0	0	0	0	49	NULL"
"53114480	71	33	41,47969	2,09539	0	2015-04-16 14:46:43.000	2015-04-16 12:46:43.000	0	0	0	0	96	NULL"
"53114479	54	33	41,47956	2,095298	0	2015-04-16 14:46:17.000	2015-04-16 12:46:17.000	0	0	0	1	0	NULL"
"53114478	54	33	41,47956	2,095305	0	2015-04-16 14:45:47.000	2015-04-16 12:45:47.000	0	0	0	1	0	NULL"
"53114477	54	33	41,47956	2,09531	0	2015-04-16 14:45:17.000	2015-04-16 12:45:17.000	0	0	0	1	0	NULL"
"53114476	39	33	41,47936	2,09492	0	2015-04-16 14:46:41.000	2015-04-16 12:46:41.000	0	0	0	0	49	NULL"
"53114475	69	33	41,47934	2,09488	0	2015-04-16 14:46:39.000	2015-04-16 12:46:39.000	0	0	0	0	346	NULL"
"53114474	35	33	41,47939	2,09514	0	2015-04-16 14:46:38.000	2015-04-16 12:46:38.000	0	0	0	0	63	NULL"
"53114473	37	33	41,47952	2,09518	0	2015-04-16 14:46:38.000	2015-04-16 12:46:38.000	0	0	0	0	343	NULL"
"53114472	42	33	41,47945	2,09513	0	2015-04-16 14:46:36.000	2015-04-16 12:46:36.000	0	0	0	0	337	NULL"
"53114471	68	33	41,4796	2,09509	0	2015-04-16 14:46:34.000	2015-04-16 12:46:34.000	0	0	5	0	141	NULL"
